year,fertilizer_code,dry_matter,actual_yield,temperature,precipitation,solar_radiation,predicted_yield
1997,FYM N4 PK,36.7,16.36,286.63785597857304,408.05241651809774,16169909.04248366,16.554327
1997,FYM N2,35.8,17.45,286.63785597857304,408.05241651809774,16169909.04248366,17.436323
1997,FYM,37.4,17.53,286.63785597857304,408.05241651809774,16169909.04248366,17.508183
1997,Nil,31.7,3.64,286.63785597857304,408.05241651809774,16169909.04248366,7.799694
1997,PKMg,31.3,4.8,286.63785597857304,408.05241651809774,16169909.04248366,4.6954618
1997,N1PKMg,36.1,11.85,286.63785597857304,408.05241651809774,16169909.04248366,14.538385
1997,N2PKMg,39.2,14.86,286.63785597857304,408.05241651809774,16169909.04248366,14.986387
1997,N3PKMg,38.8,18.62,286.63785597857304,408.05241651809774,16169909.04248366,18.48352
1997,N4PKMg,41.3,18.5,286.63785597857304,408.05241651809774,16169909.04248366,18.393986
1997,N2,32.0,5.77,286.63785597857304,408.05241651809774,16169909.04248366,10.787226
1997,N2P,33.3,6.46,286.63785597857304,408.05241651809774,16169909.04248366,6.554405
1997,N2PNa*,35.3,8.73,286.63785597857304,408.05241651809774,16169909.04248366,8.720327
1997,N2PK,38.3,15.52,286.63785597857304,408.05241651809774,16169909.04248366,15.512702
1997,N2PKMg*,39.1,14.97,286.63785597857304,408.05241651809774,16169909.04248366,14.9476385
1997,N5PKMg,34.3,15.85,286.63785597857304,408.05241651809774,16169909.04248366,15.818585
1997,N6PKMg,38.9,18.72,286.63785597857304,408.05241651809774,16169909.04248366,17.177177
1997,N0+3 1/2[PKMg],36.3,15.81,286.63785597857304,408.05241651809774,16169909.04248366,15.816012
1997,N1+3 1/2[PKMg],36.5,16.35,286.63785597857304,408.05241651809774,16169909.04248366,16.292158
1997,(C) ,33.2,5.44,286.63785597857304,408.05241651809774,16169909.04248366,5.389736
1998,FYM N4 PK,25.9,15.38,286.30274155560664,414.8040142953396,15079114.039215686,15.35048
1998,FYM N2,29.1,17.79,286.30274155560664,414.8040142953396,15079114.039215686,17.56028
1998,FYM,30.2,14.91,286.30274155560664,414.8040142953396,15079114.039215686,15.080299
1998,Nil,23.9,3.08,286.30274155560664,414.8040142953396,15079114.039215686,6.337634
1998,PKMg,26.9,4.29,286.30274155560664,414.8040142953396,15079114.039215686,4.4460616
1998,N1PKMg,27.6,9.52,286.30274155560664,414.8040142953396,15079114.039215686,9.361834
